"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1974,"59","""Hollywood Swinging""","Kool & the Gang","6igsoAR6Co9u7Rq3U7mlOD","Kool & The Gang",0.0191
1974,"60","""Be Thankful for What You Got""","William DeVaughn","5GVVEAVdG4xvRMsFDNl0Mm","Zoe Leone",0.17
1974,"61","""Hang on in There Baby""","Johnny Bristol","15q1ikYmVRhDT5o6pailtt","Johnny Bristol",0.352
1974,"62","""Eres tú""","Mocedades",NA,NA,NA
1974,"63","""Takin' Care of Business""","Bachman-Turner Overdrive","3UWLfoJF8NCMVI8b3bkT64","Bachman-Turner Overdrive",0.0747
1974,"64","""Radar Love""","Golden Earring","4Zau4QvgyxWiWQ5KQrwL43","Golden Earring",0.00878
1974,"65","""Please Come to Boston""","Dave Loggins","1pfSKTDigM2xnWG2Y0AquA","Dave Loggins",0.374
1974,"66","""Keep On Smilin'""","Wet Willie","4Fu0fvgNkqVYh5OLJYfel8","Wet Willie",0.0791
1974,"67","""Lookin' for a Love""","Bobby Womack","2zZuxnCPpUCfJ5STnZC19l","Bobby Womack",0.384
1974,"68","""Put Your Hands Together""","The O'Jays","6LhXQZ3tyooLASS2yJa5oe","The O'Jays",0.445
1974,"69","""On and On""","Gladys Knight & the Pips","4klc508qHugrSruV1S7WD2","Gladys Knight & The Pips",0.398
1974,"70","""Oh Very Young""","Cat Stevens","7eiNxeOC8dvYAJWgTOu6xn","Yusuf / Cat Stevens",0.669
1974,"71","""Leave Me Alone (Ruby Red Dress)""","Helen Reddy","2Uak7fGdGpwsgbIQWA8iCQ","Helen Reddy",0.134
1974,"72","""Goodbye Yellow Brick Road""","Elton John",NA,NA,NA
1974,"73","""(I've Been) Searchin' So Long""","Chicago","3z9pBucv2HHp1gYaTcQwiI","Chicago",0.118
1974,"74","""Oh My My""","Ringo Starr","5PDuyllF8D5TqVkoGoPOWS","Ringo Starr",0.0512
1974,"75","""For the Love of Money""","The O'Jays","3p1JoOEhVkEnTaa4JzTMSk","The O'Jays",0.236
1974,"76","""I Shot the Sheriff""","Eric Clapton","0UOxp1BpnD8uPQMKU4wKjz","Eric Clapton",0.104
1974,"77","""Jet""","Paul McCartney and Wings","6Ff77WXC58MkhLE5A1qgY1","Paul McCartney",0.0883
1974,"78","""Don't Let the Sun Go Down on Me""","Elton John","11FcfHd3SOmmrWJPGe7Y30","Elton John",0.13
1974,"79","""Tubular Bells""","Mike Oldfield","7ERSQrRptZVM7q3VOdM7OL","Mike Oldfield",0.558
1974,"80","""A Love Song""","Anne Murray","1TvCh7rs00BamgwB98rXzA","Anne Murray",0.706
1974,"81","""I'm Leaving It Up to You""","Donny and Marie Osmond","0OPMdY8MpVkew5eTWuHfb4","Donny Osmond",0.154
1974,"82","""Hello It's Me""","Todd Rundgren","3gHFKiDanj4d2rqgHlRFFc","Todd Rundgren",0.0563
1974,"83","""I Love""","Tom T. Hall","4uZ4gkFvrJFwiMLV3b3ob2","Tom T. Hall",0.883
1974,"84","""Clap for the Wolfman""","The Guess Who featuring Wolfman Jack",NA,NA,NA
1974,"85","""I'll Have to Say I Love You in a Song""","Jim Croce","4TjrIZw2QxJxbVjdc3XKsj","Jim Croce",0.776
1974,"Tie","""The Lord's Prayer""","Sister Janet Mead","2GLnxNLB83jsC3T3RF2XBW","Sister Janet Mead",0.65
1974,"87","""Trying To Hold On To My Woman""","Lamont Dozier","1p6fvUjZpBIR0LLYc90ez1","Lamont Dozier",0.38
1974,"88","""Don't You Worry 'bout a Thing""","Stevie Wonder","1QvWxgZvTU0w8rlPRE5Zrv","Stevie Wonder",0.0359
1974,"89","""A Very Special Love Song""","Charlie Rich","3EwfpG9f86Z2cHIZ7N99Ii","Charlie Rich",0.921
1974,"90","""My Girl Bill""","Jim Stafford","46PZ18T8OG7a5aF2iglPDt","Jim Stafford",0.625
1974,"91","""Helen Wheels""","Paul McCartney and Wings","1nPrjHt7tzh48YqXpOUaeS","Karaoke Backtrax Library",5.23e-05
1974,"Tie","""My Mistake (Was to Love You)""","Diana Ross & Marvin Gaye","7gD8EozVUMLdyO21MNkoSF","Diana Ross",0.01
